Multiplier,Female_Accuracy,Female_Selection_Rate,Female_FNR,Male_Accuracy,Male_Selection_Rate,Male_FNR,Disparity_Gap_FNR,Global_Accuracy
X1,0.8529801324503311,0.06641438032166509,0.8915441176470589,0.855899830220713,0.06854838709677419,0.899103139013453,0.007559021366394081,0.8544399813355221
X2,0.8066225165562914,0.130558183538316,0.8051470588235294,0.8000848896434635,0.1400679117147708,0.8161434977578476,0.01099643893431812,0.8033537030998774
X5,0.7167455061494796,0.23859981078524126,0.7169117647058824,0.708616298811545,0.2565789473684211,0.6838565022421524,0.03305526246372992,0.7126809024805123
X10,0.6633869441816461,0.302554399243141,0.6654411764705882,0.6508913412563667,0.33000848896434637,0.600896860986547,0.06454431548404116,0.6571391427190064
